,Paper Index in Raw Dataset,Paper Title,Relevant?,Experiment Recall: Found by LLM/Found Manually,Description,
,2,The Response of Two Drip-Irrigated Sweet Corn Varieties to the Twin-Row Production System in the Dry Mediterranean Region,✅,100.00%,"• Extracted all rows but missed some elements in rows
• Didn't identify irrigation scheduling method (evapotranspiration-based) if it was not the main independent variable. Confused scheduling with irrigation delivery method (drip irrigation).",
,8,Irrigation Water Allocation for Enhanced Productivity and Economic Gain of Haricot Bean (Phaseolus vulgaris): A Study in Semi-arid Region of Ethiopia,✅,100.00%,"• LLM hallucinated extra samples while extracting from table
• Mixed annual water productivity values with average plant yield value over all 3 years",
,10,Agroecosystem tradeoffs associated with conversion to subsurface drip irrigation in organic systems,✅,100.00%,• Could not find plant yield values in bar chart,
,20,Effects of deficit irrigation with saline water on yield and grape composition of Vitis vinifera L. cv. Monastrell,✅,33.33%,"• Missed 12 experiments while extracting from table
• Gave ranges of plant yields over 3 years instead of adding more samples for individual years",
,21,Impact of soil water regimes and partial root-zone drying in field-grown papaya in semi-arid conditions,✅,100.00%,• Extracted all samples but could not calculate the number of plants given plants per row and number of rows,
,28,Pre-and post-sowing irrigation scheduling impacts on crop phenology and water productivity of cotton (Gossypium hirsutum L.) in sub-tropical north-western India,✅,81.30%,"• Extracted RCWP (based on evapotranspiration) instead of TCWP (irrigation + rainfall) while reading table
• Otherwise correct data in rows that it was able to read",
,30,Irrigation scheduling for potatoes (Solanum tuberosum L.) under drip irrigation in an arid region using AquaCrop model,✅,43.30%,"• Only extracted results that were in writing, missed many from table
• Correctly labeled as conventional scheduling (irrigation cycles) even though AquaCrop model was mentioned",
,40,A Review on the Optimization of Irrigation Schedules for Farmlands Based on a Simulation–Optimization Model,⚠️,100.00%,"• More about comparing irrigation scheduling models that conducting a field experiment w/ plant data
• Wasn't able to identify much relevant numerical data manually; LLM had to create more samples by trying to find relevant locations in even the descriptions of the authors or references",
,64,Evaluation of Different Irrigation Settings to Maximize Water Productivity,✅,100.00%,• Very accurate match with manually extracted data,
,72,Investigating the utility of potato (Solanum tuberosum L.) canopy temperature and leaf greenness responses to water-restriction for the improvement of irrigation management,⚠️,50.00%,"• Couldn't infer irrigation scheduling method if not specifically stated
• Couldn't read plant yield values from bar chart",
,82,"Examination of water and salt stress for five different maize
hybrids",✅,100.00%,"• Extracted cob mass in grams because yield was not given in kg/ha
• Paper is relevant, but doesn't contain much usuable numerical data",
,91,A real-time wireless smart sensor array for scheduling irrigation,✅,100.00%,• Very relevent but little plant yield numerical data,
,108,Historical simulation of maize water footprints with a new global gridded crop model ACEA,⚠️,60.00%,"• No specific irrigation scheduling methods (too broad regions)
• LLM could only read half of the table's rows",
,122,Effects of Soil Moisture Regime on Tomato Yield,✅,100.00%,"• Great overall accuracy, missed two numbers that I manually estimated from graph",
,127,"Soil and Regulated Deficit Irrigation Affect Growth, Yield and Quality of ‘Nero d’Avola’ Grapes in a Semi-Arid Environment",✅,100.00%,"• while reading table, LLM repeated rows with unique years for experiments that ran the entire two years
• Couldn't notice that some rows of the table were averaged for all methods, instead of a single one",
,153,"Effects of Regulated Deficit Irrigation on yields, berry quality, and resource use efficiency in the everbearer strawberry Malling Ace under long-term production in TCEA",✅,100.00%,"• 1 hallucinated sample
• Found plant weight (in writing) instead of plant yield (in table)
",
,165,Mitigating the Impact of Irrigation With Effluent Water: Mixing With Freshwater and/or Adjusting Irrigation Management and Design,⚠️,100.00%,"• Paper is more about effect of using wastewater versus freshwater on irrigation, so data about irrigation scheduling is not reliable
• However, LLM correctly did not extract data or hallucinate, leaving many features blank",
,174,The Effect of Irrigation Intervals on the Growth and Yield of Quinoa Crop and Its Components,✅,100.00%,"• Very successful, it found water productivity data that was missed during manual search",
,195,Sanjit K. Deb Curriculum Vita,❌,N/A,"• No data in resume/curriculum
• LLM extracted 5 samples from titles of papers listed, correctly left all important numerical features empty",
,202,Does Deficit Irrigation Affect the Relation between Radiation Interception and Water Consumption for Durum Wheat (Triticum durum Desf)?,✅,100.00%,• LLM struggled to read and organize values from table,
,208,Enhancing sugarcane yield resilience under a changing climate: adaptive irrigation and varietal strategies in Reunion Island,✅,100.00%,"• No exact values for plant yield in paper, only comparative percentages
• LLM hallucinated some samples but most of their features are correctly empty",
,222,Stem water potential-based regulated deficit irrigation scheduling for olive table trees,✅,100.00%,• Found data in a table that I had missed at first (it was 33 pages),
,224,Deficit Irrigation Technique for Reducing Water Use of Tomato Under Polytunnel Conditions,✅,100.00%,"• Very successful, it found plant yield data that was missed during manual search",
,238,Water productivity of maize in the US high plains,✅,25.00%,"• Missed many rows in table (took values over 2008-2011 instead of using the table to get values for each individual year), mixed writing with wrong rows in table
• LLM found many features I had originally missed though (like plant density & height)!",
